run,model_id,condition,rag_enabled,prompt_id,recorded_prompt_tokens,rebuilt_prompt_tokens,completion_tokens,was_copying,continuation_banned,banned_token_count,response_tail
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P001,817,817,98,False,False,0,professionals when making decisions about your child's health.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P002,814,814,92,False,False,0,meaning that many children with ASD go undiagnosed.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P003,813,813,139,False,False,0,life experiences or the way they were raised.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P004,815,815,193,False,False,1,therapies aimed at improving energy production within cells.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P005,819,819,122,False,False,0,not necessarily mean that mitochondrial disease causes autism.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P006,817,817,7,True,True,1,Regressive enceph
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P007,820,820,144,False,False,0,understand the relationship between encephalopathic conditions and autism.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P008,826,826,146,False,False,0,these disorders are still being studied and understood.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P009,819,819,16,True,True,1,support the claim that vaccines cause or w
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P010,825,825,137,False,False,0,child's healthcare provider for more information and guidance.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P011,819,819,157,False,False,0,depending on your child's symptoms and overall health.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P012,812,812,107,False,False,0,for individuals and families affected by this condition.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P013,810,810,111,False,False,0,is needed to better understand the underlying mechanisms.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P014,811,811,122,False,False,0,"psychologists, is necessary to make an accurate diagnosis."
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P015,819,819,106,False,False,0,indicators of potential issues that require further investigation.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P016,813,813,123,False,False,0,child develop their skills and reach their potential.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P017,818,818,165,False,False,0,symptoms and determine if further testing is necessary.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P018,813,813,217,False,False,0,diagnosis as early as possible is generally recommended.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P019,815,815,456,False,False,0,most appropriate treatments and services for each individual.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P020,814,814,73,False,False,0,Children and Health and Development (NICHD) - <https://www>
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P021,808,808,54,False,False,0,can greatly improve outcomes for individuals with autism.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P022,810,810,94,False,False,0,is needed to better understand its underlying mechanisms.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P023,813,813,209,False,False,0,"such as anxiety, depression, ADHD, and learning disabilities."
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P024,813,813,349,False,False,0,course of action for each person with autism.
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P025,812,812,410,False,False,0,"as therapy and behavioral interventions, before starting medication."
phase1_mistral-7b_few_shot_20260723_131919.csv,mistral-7b,few_shot,0,P026,812,812,221,False,False,0,the best course of action for each child.
